season,semi_final1_1,semi_final1_2,semi_final2_1,semi_final2_2,winner,runners_up
1955/1956,Stade Reims,Hiberian FC,Real Madrid,Milan,Real Madrid,Stade Reims
1956/1957,Red Star,Fiorentina,Real Madrid,Man Utd,Real Madrid,Fiorentina
1957/1958,Real Madrid,Vasas SC,Man Utd,Milan,Real Madrid,Milan
1958/1959,BSC Young Boys,Stade Reims,Real Madrid,Atlético Madrid,Real Madrid,Stade Reims
1959/1960,E. Frankfurt,Rangers,Real Madrid,Barcelona,Real Madrid,E. Frankfurt
1960/1961,Barcelona,Hamburger SV,Benfica,Rapid Vienna,Benfica,Barcelona
1961/1962,Benfica,Tottenham,Real Madrid,Standard Liège,Benfica,Real Madrid
1962/1963,Feijenoord,Benfica,Milan,Dundee FC,Milan,Benfica
1963/1964,Bor. Dortmund,Inter,FC Zürich,Real Madrid,Inter,Real Madrid
1964/1965,ETO FC Győr,Benfica,Liverpool,Inter,Inter,Benfica
1965/1966,Real Madrid,Inter,Partizan,Man Utd,Real Madrid,Partizan
1966/1967,Celtic,Dukla Prague,Inter,CSKA Sofia,Celtic,Inter
1967/1968,Man Utd,Real Madrid,Benfica,Juventus,Man Utd,Benfica
1968/1969,Ajax,Spartak Trnava,Milan,Man Utd,Milan,Ajax
1969/1970,Leeds,Celtic,Legia Warszawa,Feijenoord,Feijenoord,Celtic
1970/1971,Red Star,Panathinaikos,Atlético Madrid,Ajax,Ajax,Panathinaikos
1971/1972,Ajax,Benfica,Inter,Celtic,Ajax,Inter
1972/1973,Juventus,Derby,Ajax,Real Madrid,Ajax,Juventus
1973/1974,Újpesti Dózsa,Bayern Munich,Celtic,Atlético Madrid,Bayern Munich,Atlético Madrid
1974/1975,Leeds,FC Barcelona,Saint-Étienne,Bayern Munich,Bayern Munich,Leeds
1975/1976,Real Madrid,Bayern Munich,Saint-Étienne,PSV Eindhoven,Bayern Munich,Saint-Étienne
1976/1977,FC Zürich,Liverpool,Dynamo Kyiv,Bor. M'gladbach,Liverpool,Bor. M'gladbach
1977/1978,Juventus,Club Brugge,Bor. M'gladbach,Liverpool,Liverpool,Club Brugge
1978/1979,Nottm Forest,1. FC Köln,Austria Vienna,Malmö FF,Nottm Forest,Malmö FF
1979/1980,Real Madrid,Hamburger SV,Nottm Forest,Ajax,Nottm Forest,Hamburger SV
